id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,room_size,total_baths,total_area,total_porch_area,age
109,533352170,60,RL,73.48551236749117,13517,1,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,Ex,1,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,1,Gd,Typ,0,None,Attchd,RFn,475.0,TA,TA,Y,0,44,0,0,0,0,None,None,None,0,3,2010,WD ,130500,246.5,3.0,2679.0,44,34
544,531379050,60,RL,43.0,11492,1,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,Ex,1,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4,1,Gd,Typ,1,TA,Attchd,RFn,559.0,TA,TA,Y,0,74,0,0,0,0,None,None,None,0,4,2009,WD ,220000,265.25,4.0,3594.0,74,13
153,535304180,20,RL,68.0,7922,1,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,TA,1,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,Gd,Typ,0,None,Detchd,Unf,246.0,TA,TA,Y,0,52,0,0,0,0,None,None,None,0,1,2010,WD ,109000,211.4,2.0,2360.0,52,57
318,916386060,60,RL,73.0,9802,1,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,Gd,1,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,1,TA,Typ,0,None,BuiltIn,Fin,400.0,TA,TA,Y,100,0,0,0,0,0,None,None,None,0,4,2010,WD ,174000,206.28571428571428,3.0,2228.0,100,4
255,906425045,50,RL,82.0,14235,1,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,TA,1,SBrkr,831,614,0,1445,0.0,0.0,2,0,3,1,TA,Typ,0,None,Detchd,Unf,484.0,TA,TA,N,0,59,0,0,0,0,None,None,None,0,3,2010,WD ,138500,240.83333333333334,2.0,2605.0,59,110
138,535126040,20,RL,137.0,16492,1,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,Ex,1,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,Gd,Mod,1,Gd,Attchd,Fin,578.0,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,6,2010,WD ,190000,314.6666666666667,3.0,3983.0,0,44
2827,908186070,180,RM,35.0,3675,1,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,Gd,1,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2,1,TA,Typ,0,None,Basment,Fin,525.0,TA,TA,Y,0,44,0,0,0,0,None,None,None,0,6,2006,New,140000,214.4,3.0,2144.0,44,1
145,535154050,20,RL,73.48551236749117,12160,1,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,Fa,1,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,TA,Typ,0,None,Attchd,RFn,531.0,TA,TA,Y,0,0,0,0,0,0,None,MnPrv,None,0,5,2010,COD,142000,198.0,2.0,2907.0,0,51
1942,535353130,20,RL,73.48551236749117,15783,1,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,292.0,Unf,0.0,632.0,924.0,GasA,TA,1,SBrkr,924,0,0,924,0.0,0.0,1,0,2,1,TA,Typ,0,None,Detchd,Unf,420.0,TA,TA,Y,0,324,0,0,0,0,None,MnPrv,Shed,400,6,2007,WD ,112500,154.0,1.0,2268.0,324,55
1956,535426130,60,RL,70.0,11606,1,None,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,TA,1,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5,1,Fa,Typ,2,TA,Attchd,Unf,504.0,TA,TA,Y,335,0,0,0,0,0,None,None,None,0,9,2007,WD ,135000,231.11111111111111,3.5,3624.0,335,38
